SampleID	Cytokine	value	region
DERX	IL.13	21.81	Plasma
JAL	IL.13	0.84	Plasma
ZF36	IL.13	10.04	Plasma
M1522	IL.13	6.41	Plasma
A6V084	IL.13	5.48	Plasma
MA5	IL.13	2.19	Plasma
MLB	IL.13	19.58	Plasma
DECG	IL.13	0.00181032105485474	Plasma
M1520	IL.13	2.19	Plasma
ZE88	IL.13	3.8	Plasma
DF11	IL.13	0.00787657740743529	Plasma
M47	IL.13	12.49	Plasma
X35	IL.13	0.000489317274258007	Plasma
R32	IL.13	7.63	Plasma
T19	IL.13	0.0250003766970808	Plasma
PH0692	IL.13	0.000302199931880909	Plasma
Animal.99R1458	IL.13	0.00697174428999213	Plasma
Animal.98P009	IL.13	0.78	Plasma
Animal.1087	IL.13	0.00156522206647778	Plasma
M1418	IL.13	0.0102000892551782	Plasma
RQ6713	IL.13	0.00946699273080629	Plasma
RQ6687	IL.13	0.00239103104056155	Plasma
T75	IL.13	5.3	Plasma
X19	IL.13	0.25	Plasma
T51	IL.13	1.58	Plasma
IA66.7.mos	IL.13	2.3	Plasma
KF35.7.mos	IL.13	1.25	Plasma
KG04.7.mos	IL.13	0.0249480380631591	Plasma
KG56.7.mos	IL.13	0.000629178192679518	Plasma
KT85.7.mos	IL.13	0.56	Plasma
JL80	IL.13	7.76	Plasma
JT67	IL.13	0.0270147310710021	Plasma
KB32	IL.13	0.39	Plasma
KC93	IL.13	19.17	Plasma
KF04	IL.13	1.28	Plasma
KI63	IL.13	0.0182224233313166	Plasma
KA87	IL.13	0.03	Plasma
KC07	IL.13	0.00193670137931323	Plasma
JF27	IL.13	0.0285602098127709	Plasma
JF82	IL.13	0.00620871870474696	Plasma
JM03	IL.13	0.00151614575553283	Plasma
JN22	IL.13	0.00433447037442008	Plasma
JP70	IL.13	0.0194779756813386	Plasma
JT22	IL.13	16.83	Plasma
JT94	IL.13	8.13	Plasma
JI14	IL.13	2.26	Plasma
JJ55	IL.13	0.00693170979248424	Plasma
CK62	IL.13	3.66	Plasma
DD23	IL.13	1.4	Plasma
EF54	IL.13	0.000430117163718461	Plasma
DF53	IL.13	0.88	Plasma
CM82	IL.13	0.0088297990992879	Plasma
CR98	IL.13	0.0207495303384385	Plasma
DB57	IL.13	0.0165539627498646	Plasma
CE15	IL.13	0.025973626005148	Plasma
DB59	IL.13	13.19	Plasma
IK28	IL.13	0.0145637004054565	Plasma
EB25	IL.13	0.00583946048078315	Plasma
EA49	IL.13	0.00512442540183843	Plasma
EC72	IL.13	0.39	Plasma
M148.d0	IL.13	0.0209755911877911	Plasma
P081.d0	IL.13	5.86	Plasma
M148.d31	IL.13	26.67	Plasma
P081.d31	IL.13	8.93	Plasma
AH74.d48	IL.13	0.14	Plasma
DI57.d48	IL.13	13.11	Plasma
T657.d48	IL.13	8.57000000000001	Plasma
P519.d48	IL.13	0.52	Plasma
AH74.d0	IL.13	0.0105381323056597	Plasma
DI57.d0	IL.13	19.82	Plasma
T657.d0	IL.13	0.0111992042484065	Plasma
P519.d0	IL.13	5.04	Plasma
IA66.d0	IL.17A	0.27	Plasma
KF35.d0	IL.17A	1.89	Plasma
KG04.d0	IL.17A	2.82	Plasma
KG56.d0	IL.17A	0.102004282891657	Plasma
KT85.d0	IL.17A	0.0406540698632544	Plasma
KV82.d0	IL.17A	0.130389105342733	Plasma
IA66.d35	IL.17A	0.00149199918361955	Plasma
KF35.d35	IL.17A	4.58	Plasma
KG04.d35	IL.17A	0.00291388418881518	Plasma
KG56.d35	IL.17A	0.030643189112231	Plasma
KT85.d35	IL.17A	0.12597003970915	Plasma
KV82.d35	IL.17A	0.0025707860766445	Plasma
IA66.d125	IL.17A	0.136298925779267	Plasma
KF35.d97	IL.17A	7.56	Plasma
